original	Memento	robust link	fmt migrate	HTML fixes
				
.html file				
				
\barn\tex\				
				
yfcf	https://web.archive.org/web/19970715175729/http://dewey.rug.ac.be/barn/tex/yfcf.html	0		X
audio	https://web.archive.org/web/19970715175941/http://dewey.rug.ac.be/barn/tex/audio.html	X		X
video	https://web.archive.org/web/19970715175954/http://dewey.rug.ac.be/barn/tex/video.html	X		X
perfo	https://web.archive.org/web/19970715180011/http://dewey.rug.ac.be/barn/tex/perfo.html	X		X
lyric	https://web.archive.org/web/19970715180027/http://dewey.rug.ac.be/barn/tex/lyric.html	X		X
max	https://web.archive.org/web/19970715180039/http://dewey.rug.ac.be/barn/tex/max.html	X		X
work	https://web.archive.org/web/19980111051944/http://dewey.rug.ac.be/barn/tex/work.html	X		X
yfcfprom	https://web.archive.org/web/19970715180121/http://dewey.rug.ac.be/barn/tex/yfcfprom.html	X		X
news	https://web.archive.org/web/19970719104738/http://dewey.rug.ac.be/barn/tex/news.html	X		X
neckprom	https://web.archive.org/web/19970715201553/http://dewey.rug.ac.be/barn/tex/neckprom.html	X		X
gold	https://web.archive.org/web/19970719104902/http://dewey.rug.ac.be/barn/tex/gold.html	X		X
claemit	https://web.archive.org/web/19970719104755/http://dewey.rug.ac.be/barn/tex/claemit.html	X		X
theresa	https://web.archive.org/web/19970719104919/http://dewey.rug.ac.be/barn/tex/theresa.html	X		X
nuns	https://web.archive.org/web/19970719104928/http://dewey.rug.ac.be/barn/tex/nuns.html	X		X
fiat	https://web.archive.org/web/19970719104942/http://dewey.rug.ac.be/barn/tex/fiat.html	X		X
dildo	https://web.archive.org/web/19970719104958/http://dewey.rug.ac.be/barn/tex/dildo.html	X		X
meno	https://web.archive.org/web/19970719105006/http://dewey.rug.ac.be/barn/tex/meno.html	X		X
herma	https://web.archive.org/web/19970719105017/http://dewey.rug.ac.be/barn/tex/herma.html	X		X
doppler	https://web.archive.org/web/19970719105050/http://dewey.rug.ac.be/barn/tex/doppler.html	X		X
piet	https://web.archive.org/web/19970715192412/http://dewey.rug.ac.be/barn/tex/piet.html	X		X
cv	https://web.archive.org/web/19970719105858/http://dewey.rug.ac.be/barn/tex/cv.html	X		X
beurs	https://web.archive.org/web/19970719104835/http://dewey.rug.ac.be/barn/tex/beurs.html	X		X
sputnick	https://web.archive.org/web/19970719104827/http://dewey.rug.ac.be/barn/tex/sputnick.html	X		X
bird	https://web.archive.org/web/19970719105040/http://dewey.rug.ac.be/barn/tex/bird.html	X		X
goodegg	https://web.archive.org/web/19970719105100/http://dewey.rug.ac.be/barn/tex/goodegg.html	X		X
				
\YFCF				
				
SonicYFCF	https://web.archive.org/web/19970719115907/http://dewey.rug.ac.be/YFCF/SonicYFCF.html	X		X
HotSonic	https://web.archive.org/web/19970719105949/http://dewey.rug.ac.be/YFCF/HotSonic.html	X		X
UnploughCD	https://web.archive.org/web/19970715180148/http://dewey.rug.ac.be/YFCF/UnploughCD.html	X		X
				
.mov file				
				
\barn\quix\				
				
f-spaceex	https://web.archive.org/web/19970715201533/http://dewey.rug.ac.be/barn/quix/f-spaceex.mov	X	X	
f-advances	https://web.archive.org/web/19970715180121/http://dewey.rug.ac.be/barn/quix/f-advances.mov	X	X	
f-news	https://web.archive.org/web/19970719104738/http://dewey.rug.ac.be/barn/quix/f-news.mov	X	X	
f-pong	https://web.archive.org/web/19980111051944/http://dewey.rug.ac.be/barn/quix/f-pong.mov	X	X	
f-winterwalk	https://web.archive.org/web/19970715175954/http://dewey.rug.ac.be/barn/quix/f-winterwalk.mov	X	X	
f-room	from CD+ track of Unploughed CD	X	X	
f-goodegg	https://web.archive.org/web/19970715175954/http://dewey.rug.ac.be/barn/quix/f-goodegg.mov	X	X	
f-bird	https://web.archive.org/web/19970715175954/http://dewey.rug.ac.be/barn/quix/f-bird.mov	X	X	
f-andove	https://web.archive.org/web/19970715175954/http://dewey.rug.ac.be/barn/quix/f-andove.mov	X	X	
f-tartaar	https://web.archive.org/web/19970715175954/http://dewey.rug.ac.be/barn/quix/f-tartaar.mov	X	X	
f-hammer	https://web.archive.org/web/19970715192412/http://dewey.rug.ac.be/barn/quix/f-hammer.mov	X	X	
f-traffic	https://web.archive.org/web/19970715192412/http://dewey.rug.ac.be/barn/quix/f-traffic.mov	X	X	
f-solar	https://web.archive.org/web/19970715192412/http://dewey.rug.ac.be/barn/quix/f-solar.mov	X	X	
f-v2	https://web.archive.org/web/19970715201553/http://dewey.rug.ac.be/barn/quix/f-v2.mov	X	X	
f-claemit	from CD+ track of Unploughed CD	X	X	
				
.mp2 file				
				
\barn\vox\				
				
claemvox1	missing	X		
claemvox2	missing	X		
yfclf01	missing, replaced by mp3 fragment from Unploughed CD, probably reflecting original content	X	0	
yfclf02	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf03	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf04	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf05	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf06	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf07	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf08	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf09	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf10	missing, replaced by mp3 fragment from Unploughed CD, probably reflecting original content	X	0	
yfclf11	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf12	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf13	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf14	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf15	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf16	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf17	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf18	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
yfclf19	missing, replaced by mp3 fragment from Unploughed CD, probably not reflecting original content	X	0	
				
.jpeg file				
				
\barn\pix\				
				
b-advances1	https://web.archive.org/web/19970715192335/http://dewey.rug.ac.be/barn/pix/b-advances1.jpeg		0	
b-advances2	https://web.archive.org/web/19970715192258/http://dewey.rug.ac.be/barn/pix/b-advances2.jpeg		0	
b-hands1	https://web.archive.org/web/19970719104446/http://dewey.rug.ac.be/barn/pix/b-hands1.jpeg		0	
b-hands2	https://web.archive.org/web/19970719104505/http://dewey.rug.ac.be/barn/pix/b-hands2.jpeg		0	
b-sprouts1	https://web.archive.org/web/19970719104523/http://dewey.rug.ac.be/barn/pix/b-sprouts1.jpeg		0	
b-sprouts2	https://web.archive.org/web/19970719104542/http://dewey.rug.ac.be/barn/pix/b-sprouts2.jpeg		0	
b-balls1	missing, made copy of b-balls2		0	
b-balls2	https://web.archive.org/web/19970719104659/http://dewey.rug.ac.be/barn/pix/b-balls2.jpeg		0	
b-cables	https://web.archive.org/web/19970719110058/http://dewey.rug.ac.be/barn/pix/b-cables.jpeg		0	
b-piet	https://web.archive.org/web/19970719110145/http://dewey.rug.ac.be/barn/pix/b-piet.jpeg		0	
b-neckprom	https://web.archive.org/web/19970719111652/http://dewey.rug.ac.be/barn/pix/b-neckprom.jpeg		0	
b-neck1	https://web.archive.org/web/19970719111722/http://dewey.rug.ac.be/barn/pix/b-neck1.jpeg		0	
b-bert	https://web.archive.org/web/19970719112439/http://dewey.rug.ac.be/barn/pix/b-bert.jpeg		0	
b-asbach	https://web.archive.org/web/19970719105030/http://dewey.rug.ac.be/barn/pix/b-asbach.jpeg		0	
b-markest	https://web.archive.org/web/19970719105918/http://dewey.rug.ac.be/barn/pix/b-markest.jpeg		0	
b-claemit1	https://web.archive.org/web/19970719114654/http://dewey.rug.ac.be/barn/pix/b-claemit1.jpeg		0	
b-claemit2	https://web.archive.org/web/19980508004956/http://dewey.rug.ac.be/barn/pix/b-claemit2.jpeg		0	
b-claemit3	https://web.archive.org/web/19970719115116/http://dewey.rug.ac.be/barn/pix/b-claemit3.jpeg		0	
b-claemit4	https://web.archive.org/web/19970719115255/http://dewey.rug.ac.be/barn/pix/b-claemit4.jpeg		0	
b-jap	https://web.archive.org/web/19980508004432/http://dewey.rug.ac.be/barn/pix/b-jap.jpeg		0	
b-logo	https://web.archive.org/web/19980508004017/http://dewey.rug.ac.be/barn/pix/b-logo.jpeg		0	
b-flowers	https://web.archive.org/web/19970719112829/http://dewey.rug.ac.be/barn/pix/b-flowers.jpeg		0	
b-nefertiti	https://web.archive.org/web/19970719114317/http://dewey.rug.ac.be/barn/pix/b-nefertiti.jpeg		0	
b-flamingo	https://web.archive.org/web/19970719114351/http://dewey.rug.ac.be/barn/pix/b-flamingo.jpeg		0	
b-news1	https://web.archive.org/web/19970719114414/http://dewey.rug.ac.be/barn/pix/b-news1.jpeg		0	
b-news2	https://web.archive.org/web/19970719114429/http://dewey.rug.ac.be/barn/pix/b-news2.jpeg		0	
b-asbak	https://web.archive.org/web/19970719114523/http://dewey.rug.ac.be/barn/pix/b-asbak.jpeg		0	
b-stelling	https://web.archive.org/web/19970719105907/http://dewey.rug.ac.be/barn/pix/b-stelling.jpeg		0	
b-ping	https://web.archive.org/web/19970715180438/http://dewey.rug.ac.be/barn/pix/b-ping.jpeg		0	
